name,singer,music URL,image
開始懂了,孫燕姿,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/2f/61/c9/2f61c9ce-f484-cd10-a688-221066094ff5/mzaf_414601807471786816.plus.aac.p.m4a,截圖 2021-01-02 下午3.57.22.png (https://dl.airtable.com/.attachments/23d003033905f6b0c6ca6ddb59eb9f4d/ab2e35e7/2021-01-023.57.22.png)
真實,張惠妹,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/d6/b6/c8/d6b6c85d-0d78-5686-7e70-b790e9b7f61c/mzaf_1358194095282290845.plus.aac.p.m4a,截圖 2021-01-02 下午3.55.48.png (https://dl.airtable.com/.attachments/62118fadf31c2daf325ae9d5bab432e7/e8818ada/2021-01-023.55.48.png)
志明與春嬌,五月天,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/ac/6d/5e/ac6d5e40-dc68-fad8-e7c3-c3db6bdef46a/mzaf_8587076284593073413.plus.aac.p.m4a,截圖 2021-01-02 下午4.01.07.png (https://dl.airtable.com/.attachments/342d60774f0142ddb51f74b585bd2bfe/90b1b1dd/2021-01-024.01.07.png)
安靜,周杰倫,https://audio-ssl.itunes.apple.com/itunes-assets/Music/83/44/60/mzi.dcrlowoa.aac.p.m4a,截圖 2021-01-02 下午4.07.35.png (https://dl.airtable.com/.attachments/966cf0b73920491416a352fa2b0b9230/cbb7ae85/2021-01-024.07.35.png)
天空,蔡依林,https://audio-ssl.itunes.apple.com/itunes-assets/Music/0d/39/ef/mzi.ndkihyyy.aac.p.m4a,截圖 2021-01-02 下午4.12.29.png (https://dl.airtable.com/.attachments/ca3ac8c96cf6c9cd3b6f1b9023bd3f84/f3ea214b/2021-01-024.12.29.png)
他和她的故事,蕭亞軒,https://audio-ssl.itunes.apple.com/itunes-assets/Music3/v4/1a/22/f9/1a22f98f-dd65-29a1-eda9-3b0d69e4a8ea/mzaf_800363279191098675.plus.aac.p.m4a,截圖 2021-01-02 下午4.10.31.png (https://dl.airtable.com/.attachments/5d9ef44652427d17ad151d99e669e5ec/dc46ffc1/2021-01-024.10.31.png)
我還想她,林俊傑,ttps://audio-ssl.itunes.apple.com/itunes-assets/Music69/v4/ba/d5/22/bad522cb-b0c3-7a8b-0964-16285eb65e9f/mzaf_793398954970170972.plus.aac.p.m4a,截圖 2021-01-02 下午4.18.31.png (https://dl.airtable.com/.attachments/394a193fe255ec06c5087e9a36ac7fbb/7f06046e/2021-01-024.18.31.png)
流淚手心,王力宏,https://audio-ssl.itunes.apple.com/itunes-assets/Music/db/cd/26/mzm.lpsmngpf.aac.p.m4a,截圖 2021-01-02 下午4.21.50.png (https://dl.airtable.com/.attachments/873091325cd85ae0404858e883d71fec/abb6adb4/2021-01-024.21.50.png)
值得,鄭秀文,https://audio-ssl.itunes.apple.com/itunes-assets/Music/97/25/ae/mzm.vnkuusnn.aac.p.m4a,截圖 2021-01-02 下午4.24.14.png (https://dl.airtable.com/.attachments/c4f047b24c80fe5196b8d4dd0b65c6bc/b58be5d4/2021-01-024.24.14.png)
愛我還是他,陶喆,https://audio-ssl.itunes.apple.com/itunes-assets/Music4/v4/15/82/3f/15823f0d-d680-1cb9-77b1-385ab42dd654/mzaf_4570141289697994483.plus.aac.p.m4a,截圖 2021-01-02 下午4.27.33.png (https://dl.airtable.com/.attachments/5833002d4dd198915f614b4a440d6fff/42089fa6/2021-01-024.27.33.png)
1234567,陳綺貞,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/40/ae/42/40ae425f-2141-3250-0da9-16e161f565c3/mzaf_2605300986594222968.plus.aac.p.m4a,截圖 2021-01-02 下午4.28.57.png (https://dl.airtable.com/.attachments/61bc5ea255a07ed019ebe2d1fb3b7a37/30246060/2021-01-024.28.57.png)
戀戀真言,蘇慧倫,https://audio-ssl.itunes.apple.com/itunes-assets/Music49/v4/01/4f/0b/014f0bbd-9d81-c46d-9aec-e8ae4fe41a67/mzaf_1743728381917247088.plus.aac.p.m4a,截圖 2021-01-02 下午4.31.52.png (https://dl.airtable.com/.attachments/8f32d22ad851139bd07c3c14313569f5/6142b148/2021-01-024.31.52.png)
星期三或禮拜三 ,魏如萱,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/60/18/a8/6018a8c1-e267-7f90-bb29-250e82a6f545/mzaf_5061082598003120928.plus.aac.p.m4a,截圖 2021-01-02 下午4.36.55.png (https://dl.airtable.com/.attachments/c35292a4b0bfd94284b7bb47d628c7e8/33c61430/2021-01-024.36.55.png)
我愛你,盧廣仲,https://audio-ssl.itunes.apple.com/itunes-assets/Music6/v4/c3/f5/e1/c3f5e1e6-bd47-007c-f0ca-03cbd1fa0d57/mzaf_8277122749039021754.plus.aac.p.m4a,截圖 2021-01-02 下午4.37.54.png (https://dl.airtable.com/.attachments/b5d2c06b51279d93b9010e8a08e16c2c/c1f65e5b/2021-01-024.37.54.png)
原諒我,蕭敬騰,https://audio-ssl.itunes.apple.com/itunes-assets/Music/04/b9/fe/mzm.zrtlbqmd.aac.p.m4a,截圖 2021-01-02 下午4.39.26.png (https://dl.airtable.com/.attachments/c485b9f4f38f65f7b5c303a6e36fc4b6/fea900a2/2021-01-024.39.26.png)
不需要理由,徐若瑄,https://audio-ssl.itunes.apple.com/itunes-assets/Music/8a/65/63/mzm.rpjyldyn.aac.p.m4a,截圖 2021-01-02 下午4.40.35.png (https://dl.airtable.com/.attachments/6fc6ec58762adf46005874e6d9b5f0fc/30cd2fa3/2021-01-024.40.35.png)
妙妙妙,徐懷鈺,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/fe/09/67/fe0967f8-55d5-2fb3-04d5-8c1c24ef095a/mzaf_1532632132820751250.plus.aac.p.m4a,600x600bb-4.jpeg (https://dl.airtable.com/.attachments/8bcfb99eabe6a72a4f0c3229b0623ee9/fd58bdd5/600x600bb-4.jpeg)
紅色高根鞋,蔡健雅,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/0e/d3/d9/0ed3d955-6a9e-9b64-f401-0f7d67b7c6b7/mzaf_8998242814864480553.plus.aac.p.m4a,600x600bb-3.jpeg (https://dl.airtable.com/.attachments/64546fb382b1c28ecf21f051f1b77153/60e6920d/600x600bb-3.jpeg)
你要的愛,戴佩妮,https://audio-ssl.itunes.apple.com/itunes-assets/Music3/v4/de/f3/00/def3003e-2d2c-d07f-2a06-3545adcde0f9/mzaf_7684508964831616641.plus.aac.p.m4a,600x600bb-2.jpeg (https://dl.airtable.com/.attachments/bdf33a0d83a213d52c117e42264510d9/c43f73b0/600x600bb-2.jpeg)
說謊,林宥嘉,https://audio-ssl.itunes.apple.com/itunes-assets/Music6/v4/ba/11/36/ba113646-276d-62bd-fdd8-e26c58750341/mzaf_7406382230577853838.plus.aac.p.m4a,600x600bb.jpeg (https://dl.airtable.com/.attachments/7262e9691bab85254f01f72c38ada14d/21843ebc/600x600bb.jpeg)
冷水澡,黃立行,https://audio-ssl.itunes.apple.com/itunes-assets/Music5/v4/3a/fa/99/3afa9936-7748-8550-f19c-61ef6d0c5fc5/mzaf_3808821360476244317.plus.aac.p.m4a,600x600bb.jpg (https://dl.airtable.com/.attachments/ec04985f768120c719cad0fd1c7f8ea5/767d17e9/600x600bb.jpg)
慢冷,梁靜茹,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/e5/20/87/e5208788-6d79-2b73-804f-ff54ffc00039/mzaf_2063800767527678509.plus.aac.p.m4a,600x600bb-5.jpeg (https://dl.airtable.com/.attachments/2153d1fcbc85366b1bf7415a68ade5cb/e8afd5a7/600x600bb-5.jpeg)
淘汰,陳奕迅,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/91/54/65/91546580-e006-feae-2790-56ca973f9ce5/mzaf_5784833063581818117.plus.aac.p.m4a,600x600bb-13.jpeg (https://dl.airtable.com/.attachments/1c8c5791bb5e2cb5ce09bdfe9c01e3e6/2c78267b/600x600bb-13.jpeg)
為愛痴狂,劉若英,https://audio-ssl.itunes.apple.com/itunes-assets/Music4/v4/c6/4a/05/c64a05a5-5ce2-4dcd-687f-dea628b67376/mzaf_8463478310552297944.plus.aac.p.m4a,600x600bb-12.jpeg (https://dl.airtable.com/.attachments/aa05f391b322de72daaf6fbbb614f9c2/85d055d8/600x600bb-12.jpeg)
不難,徐佳瑩,https://audio-ssl.itunes.apple.com/itunes-assets/Music/v4/2d/72/33/2d723326-88d4-f4e9-fe3f-f157bf6c2dfa/mzaf_1061844104384617347.plus.aac.p.m4a,600x600bb-7.jpeg (https://dl.airtable.com/.attachments/3143b912e9597fc7b798a15534fdb613/9670affc/600x600bb-7.jpeg)
理想情人,楊丞琳,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/0e/83/bd/0e83bdde-3a46-7e55-22ea-7a5214b4b7e8/mzaf_1724553902199424474.plus.aac.p.m4a,600x600bb-6.jpeg (https://dl.airtable.com/.attachments/e7646bdb305dc4c2348613d16494e9b5/4cb87c3d/600x600bb-6.jpeg)
再遇見,蘇打綠,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/f8/73/7a/f8737a88-0e12-f514-a9c9-04a72a534dff/mzaf_17812481665265099107.plus.aac.p.m4a,600x600bb-8.jpeg (https://dl.airtable.com/.attachments/76a06a8356ec195fffe01247581a06ee/be4a5f68/600x600bb-8.jpeg)
我們怎麼了,SHE,https://audio-ssl.itunes.apple.com/itunes-assets/Music4/v4/f1/b5/0a/f1b50a75-750e-258e-fd80-0410053bab06/mzaf_7988731133263694063.plus.aac.p.m4a,600x600bb-9.jpeg (https://dl.airtable.com/.attachments/0b1b54776c62b9ae1df6c3545f7140b6/b2d10005/600x600bb-9.jpeg)
還是會,韋禮安,https://audio-ssl.itunes.apple.com/itunes-assets/Music/80/67/ff/mzi.jhnvzgaz.aac.p.m4a,600x600bb-10.jpeg (https://dl.airtable.com/.attachments/a22bb8b3e3b425431977788f1644fe24/432ca475/600x600bb-10.jpeg)
夠不夠,方大同,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/66/ca/fe/66cafecd-3912-63af-e7e2-4d8181552eea/mzaf_2546383057570023857.plus.aac.p.m4a,600x600bb-11.jpeg (https://dl.airtable.com/.attachments/1d76e6634e57561b7b53ae080183e343/387b77df/600x600bb-11.jpeg)
戀,李心潔,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview113/v4/8e/0e/79/8e0e794f-9798-90b4-0ab3-d4dfd54947f4/mzaf_15278536094856709588.plus.aac.p.m4a,600x600bb-2.jpeg (https://dl.airtable.com/.attachments/38136644c0ec2a4e6447dd434a201748/4f36508c/600x600bb-2.jpeg)
勇氣,張震嶽,https://audio-ssl.itunes.apple.com/itunes-assets/Music2/v4/09/fd/b7/09fdb790-b515-0588-389b-d95a547a5ff5/mzaf_8494015176462421362.plus.aac.p.m4a,600x600bb-3.jpeg (https://dl.airtable.com/.attachments/cf2e202e4588f2709b66677d1660079e/b31cd7d7/600x600bb-3.jpeg)
喜歡你,陳潔儀,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/7a/42/fa/7a42faa0-538d-4c3c-8b53-48ac99de1fbf/mzaf_199089882414366879.plus.aac.p.m4a,600x600bb-4.jpeg (https://dl.airtable.com/.attachments/d35217df581c80962ffa94898ed06193/fcc03a38/600x600bb-4.jpeg)
遺憾,許美靜,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/3f/4e/bb/3f4ebbf4-1506-5917-80e1-88e1489ad542/mzaf_4276225089813935873.plus.aac.p.m4a,600x600bb-7.jpeg (https://dl.airtable.com/.attachments/06ab7cef60a489c12a207becb1c7916c/751521ac/600x600bb-7.jpeg)
獨角戲,許茹芸,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview118/v4/49/a5/02/49a502fe-3292-bcaa-09d2-142720c64f0f/mzaf_2570922810676772051.plus.aac.p.m4a,600x600bb-8.jpeg (https://dl.airtable.com/.attachments/3f9ab61675fe4f57bbe6889c75c2784d/c4dbe71e/600x600bb-8.jpeg)
膽小鬼,梁詠琪,https://audio-ssl.itunes.apple.com/itunes-assets/Music3/v4/a1/82/45/a1824558-3531-3384-10c5-74a06d8679f6/mzaf_7348003826701267086.plus.aac.p.m4a,600x600bb-10.jpeg (https://dl.airtable.com/.attachments/cc31513ac59978c1ed0cc8ce0e7c45a0/fddf6928/600x600bb-10.jpeg)
他不愛我,莫文蔚,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/1c/69/c7/1c69c73b-fb9a-3c19-f102-e58d6583dbe4/mzaf_942093081886652254.plus.aac.p.m4a,600x600bb-11.jpeg (https://dl.airtable.com/.attachments/ba25ff967a17d13ad8ed2b38202de984/7ce69f97/600x600bb-11.jpeg)
愛情多惱河,熊天平,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/8d/f7/9f/8df79fbb-1b5c-d5bb-ac5c-e73a293e3837/mzaf_2917676420984166463.plus.aac.p.m4a,600x600bb-9.jpeg (https://dl.airtable.com/.attachments/6f0232b1e0adf10521b3353497ef42f0/aa5239e0/600x600bb-9.jpeg)
趁早,張宇,https://audio-ssl.itunes.apple.com/itunes-assets/Music3/v4/fb/f8/0c/fbf80c71-6628-71cb-b15b-c4f06468c2bd/mzaf_5532959740879958958.plus.aac.p.m4a,600x600bb-12.jpeg (https://dl.airtable.com/.attachments/b0979c6fabca802d21388f819d501b66/26696271/600x600bb-12.jpeg)
秋意濃,張學友,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/aa/fb/2f/aafb2f1d-a929-0e96-f0a6-a87d9ce28001/mzaf_4872217690565411123.plus.aac.p.m4a,600x600bb-13.jpeg (https://dl.airtable.com/.attachments/af5ef8405149832a3bddf96236678941/96c25ee1/600x600bb-13.jpeg)
身邊,無印良品,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview71/v4/92/a7/9f/92a79f62-aedc-ac42-8503-1469f1af0cdb/mzaf_8912086532902314756.plus.aac.p.m4a,600x600bb-15.jpeg (https://dl.airtable.com/.attachments/4f98bcd2b901ad80d3939d236e86eae7/9a6eea53/600x600bb-15.jpeg)
Lydia,飛兒樂團,https://audio-ssl.itunes.apple.com/itunes-assets/Music/4a/1e/35/mzm.hrkclbjr.aac.p.m4a,600x600bb-14.jpeg (https://dl.airtable.com/.attachments/dd1837d22f36a027f7239f77d87b8095/d20f5e04/600x600bb-14.jpeg)
有一點動心,張信哲,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview128/v4/d6/57/2e/d6572efa-ebe4-77e9-11f4-41d6cdfa87ba/mzaf_1513695216136699024.plus.aac.p.m4a,600x600bb.jpeg (https://dl.airtable.com/.attachments/751419f826c805f8765db0e7c774fc64/ee6d74d8/600x600bb.jpeg)
至少還有你,林憶蓮,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview123/v4/a4/21/29/a4212936-f82d-82a2-a35d-546259f9a86b/mzaf_8958479474673289029.plus.aac.p.m4a,600x600bb-2.jpeg (https://dl.airtable.com/.attachments/b7b00acb04f6c88eee777cf00620aa0e/795d0b0f/600x600bb-2.jpeg)
空氣,旺福,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/51/06/a0/5106a076-7ead-b531-7c9f-e4c366b87a0d/mzaf_3023637929283859414.plus.aac.p.m4a,600x600bb-3.jpeg (https://dl.airtable.com/.attachments/2de3e29a8993464a61207198fbda465e/af265fb3/600x600bb-3.jpeg)